Day,ACC,RMSE
1,0.9608433450281985,0.009331412526570469
2,0.9472173708529595,0.012041458460956576
3,0.9375547436219611,0.013666998401661188
4,0.930291871082111,0.014831003070756112
5,0.9243205689265566,0.01572950762645571
6,0.9195054688715381,0.016453132403176172
7,0.9153490535194119,0.01704566221538613
8,0.9116232632749789,0.01754623007997582
9,0.9086225164830382,0.017975056390587708
10,0.9058278487226435,0.018340839638776845
11,0.9035469693082745,0.018658806860922958
12,0.901428024822186,0.01894063459263711
13,0.8994805965963215,0.019190780819232266
14,0.8976777065513707,0.019414614537763494
15,0.8960811827391688,0.019617335870345733
16,0.8946100699161929,0.0198024415866414
17,0.8932543901755687,0.01997062983044445
18,0.8920678266697375,0.020122507880022258
19,0.8908862286296313,0.020263779245483907
20,0.8898328974975346,0.020394937173542436
21,0.8887444872765385,0.020516772712558917
22,0.8877878448906936,0.020630447941320088
23,0.8867453861068327,0.02073661907457083
24,0.8858042197167628,0.020837994458660337
25,0.8848287650670423,0.020930071321734012
26,0.8837583862953533,0.021018544408297243
27,0.8829549725637225,0.021103280497777398
28,0.8821868084011333,0.021185973167639392
29,0.8814130630710548,0.02126554441397666
30,0.8808213680393878,0.021339108883006167
