Day,ACC,RMSE
1,0.957574077442636,0.009648941707325122
2,0.9402828515603886,0.012678731695149196
3,0.9281997327010338,0.014600243540755503
4,0.9186424288448437,0.01604751308632872
5,0.9107564644026684,0.01721640896105513
6,0.9039192531457949,0.0182038677738808
7,0.8979943651413749,0.01905131188663625
8,0.892568769512549,0.019794543172438415
9,0.8876099953490247,0.02046217459766912
10,0.8832514600367662,0.021056156141752144
11,0.879128955249436,0.021600697643836046
12,0.8753455232767664,0.02210054227834285
13,0.871813428374745,0.022561062413688444
14,0.8684085333641859,0.022988751638854617
15,0.8652412136341101,0.023389497649381086
16,0.8621749386722276,0.023769650779863906
17,0.859464922927667,0.024124998700652416
18,0.8568141244213991,0.0244642322702521
19,0.8542635298840682,0.024788535644902156
20,0.8518251150844185,0.025100387137059393
21,0.8494455605364278,0.02539977235319104
22,0.847124017617042,0.025688617488671312
23,0.8449039954550743,0.025965900222120867
24,0.8426830228374157,0.026235589317527966
25,0.8405999123464374,0.026492169338418983
26,0.8385769828824589,0.02674291006213475
27,0.8365802452223672,0.026989988253194333
28,0.8346594308889126,0.027232421148528346
29,0.8327323291334852,0.027468674026295905
30,0.8309416290012045,0.02770137193117936
