Day,ACC,RMSE
1,0.9441829209848221,0.01323237118578246
2,0.9114400319876294,0.019412478280427293
3,0.8842752512795329,0.02438527587353795
4,0.8609082547898754,0.028782197500222255
5,0.8406653203878546,0.03276067764111298
6,0.8218019649525208,0.03640204683250393
7,0.8046150233807225,0.03975018849078912
8,0.7893570762182487,0.042830160807668737
9,0.7752854294558562,0.045681045103058975
10,0.7626285408775021,0.048307604904273535
11,0.7508466156602562,0.05074565378577913
12,0.7403501818130007,0.05300256324070015
13,0.7308759185858139,0.055092688503501075
14,0.722164397597563,0.05703560421266245
15,0.714231388573144,0.05884131102401769
16,0.707051310223975,0.060520188861576
17,0.700195287563112,0.062081755161390216
18,0.6941247418176513,0.063536165777475
19,0.688535321619222,0.06488811066860165
20,0.683353491374712,0.06614781854279878
21,0.6786270582678362,0.06731997461364195
22,0.674419015575199,0.06841513279449014
23,0.670561590974808,0.06943152629037215
24,0.6670806749764593,0.0703768320426231
25,0.6637985325930614,0.0712520098469859
26,0.6606968542679366,0.07206787294568054
27,0.6578725150844333,0.0728327293482869
28,0.6552649125675121,0.07354874034015632
29,0.6529823446882403,0.07421694848592283
30,0.6508108321925529,0.07483758071763949
