,member,ACC,RMSE
0,0,0.9287292697802829,0.02376973718243117
1,1,0.8862318814252368,0.06258528646659105
2,2,0.8772941246836202,0.06383192593915285
3,3,0.8456904629677165,0.06917722195998151
4,4,0.8303214483217374,0.07007832675800228
5,5,0.8092080905191514,0.07152568961320792
6,6,0.7740327561044157,0.07612488158513113
7,7,0.7609188039776289,0.07707810668964571
8,8,0.734568161073467,0.07583210137920814
9,9,0.7106839998225887,0.07726450820557555
10,10,0.7138249046777814,0.07773302674205168
11,11,0.7016369185379974,0.0766880912492476
12,12,0.6800728873917556,0.07687684639428478
13,13,0.639678564807935,0.07752224738220799
14,14,0.5979789883817671,0.07866584011797498
15,15,0.571789837365272,0.07919811712553408
